NAICS_ID,ID_GROUP,Business Description,Date,Sales,Status
448,448,Clothing and clothing access. stores,2020/01/01,16873.0,Estimated
4481,448,Clothing stores,2020/01/01,12287.0,Estimated
44811,448,Men's clothing stores,2020/01/01,599.0,Estimated
44812,448,Women's clothing stores,2020/01/01,2402.0,Estimated
44814,448,Family clothing stores,2020/01/01,6899.0,Estimated
44819,448,Other clothing stores,2020/01/01,1225.0,Estimated
4482,448,Shoe stores,2020/01/01,2148.0,Estimated
44831,448,Jewelry stores,2020/01/01,2141.0,Estimated
451,451,"Sporting goods, hobby, musical instrument, and book stores",2020/01/01,5867.0,Estimated
45111,451,Sporting goods stores,2020/01/01,2984.0,Estimated
45112,451,"Hobby, toy, and game stores",2020/01/01,1174.0,Estimated
451211,451,Book stores,2020/01/01,990.0,Estimated
452,452,General merchandise stores,2020/01/01,53203.0,Estimated
4521,452,Department stores,2020/01/01,8479.0,Estimated
452111,452,Department stores(excl. discount department stores),2020/01/01,2146.0,Estimated
452112,452,Discount dept. stores,2020/01/01,6333.0,Estimated
4529,452,Other general merchandise stores,2020/01/01,44724.0,Estimated
45291,452,Warehouse clubs and superstores,2020/01/01,38811.0,Estimated
45299,452,All other gen. merchandise stores,2020/01/01,5913.0,Estimated
453,453,Miscellaneous store retailers,2020/01/01,10394.0,Estimated
4532,453,"Office supplies, stationery, and gift stores",2020/01/01,2037.0,Estimated
45321,453,Office supplies and stationery stores,2020/01/01,963.0,Estimated
45322,453,"Gift, novelty, and souvenir stores",2020/01/01,1074.0,Estimated
45330,453,Used merchandise stores,2020/01/01,1501.0,Estimated
454,454,Nonstore retailers,2020/01/01,62245.0,Estimated
4541,454,Electronic shopping and mail-order houses,2020/01/01,53485.0,Estimated
45431,454,Fuel dealers,2020/01/01,4240.0,Estimated
722,722,Food services and drinking places,2020/01/01,61567.0,Estimated
7224,722,Drinking places,2020/01/01,0.0,Suppressed
7225,722,Restaurants and other eating places,2020/01/01,54131.0,Estimated
722511,722,Full service restaurants,2020/01/01,27018.0,Estimated
722513-722514-722515,722,Limited service eating places,2020/01/01,27113.0,Estimated
441,441,Motor vehicle and parts dealers,2020/02/01,97828.0,Estimated
4411-4412,441,Automobile and other motor vehicle dealers,2020/02/01,90586.0,Estimated
4411,441,Automobile dealers,2020/02/01,85140.0,Estimated
44111,441,New car dealers,2020/02/01,74360.0,Estimated
44112,441,Used car dealers,2020/02/01,10780.0,Estimated
4413,441,"Automotive parts, acc., and tire stores",2020/02/01,7242.0,Estimated
442-443,442,"Furniture, home furn, electronics, and appliance stores",2020/02/01,16139.0,Estimated
442,442,Furniture and home furnishings stores,2020/02/01,9452.0,Estimated
4421,442,Furniture stores,2020/02/01,5287.0,Estimated
4422,442,Home furnishings stores,2020/02/01,4165.0,Estimated
44221,442,Floor covering stores,2020/02/01,0.0,Suppressed
442299,442,All other home furnishings stores,2020/02/01,2211.0,Estimated
443,443,Electronics and appliance stores,2020/02/01,6687.0,Estimated
443141,443,Household appliance stores,2020/02/01,1234.0,Estimated
443142,443,Electronics stores,2020/02/01,5453.0,Estimated
444,444,Building mat. and garden equip. and supplies dealers,2020/02/01,26237.0,Estimated
4441,444,Building mat. and supplies dealers,2020/02/01,23025.0,Estimated
44412,444,Paint and wallpaper stores,2020/02/01,920.0,Estimated
44413,444,Hardware stores,2020/02/01,1954.0,Estimated
445,445,Food and beverage stores,2020/02/01,61962.0,Estimated
4451,445,Grocery stores,2020/02/01,55870.0,Estimated
44511,445,Supermarkets and other grocery (except convenience) stores,2020/02/01,53306.0,Estimated
4453,445,"Beer, wine, and liquor stores",2020/02/01,4318.0,Estimated
446,446,Health and personal care stores,2020/02/01,27756.0,Estimated
44611,446,Pharmacies and drug stores,2020/02/01,23183.0,Estimated
447,447,Gasoline stations,2020/02/01,36963.0,Estimated
448,448,Clothing and clothing access. stores,2020/02/01,19232.0,Estimated
4481,448,Clothing stores,2020/02/01,13439.0,Estimated
44811,448,Men's clothing stores,2020/02/01,615.0,Estimated
44812,448,Women's clothing stores,2020/02/01,2662.0,Estimated
44814,448,Family clothing stores,2020/02/01,7535.0,Estimated
44819,448,Other clothing stores,2020/02/01,1344.0,Estimated
4482,448,Shoe stores,2020/02/01,2701.0,Estimated
44831,448,Jewelry stores,2020/02/01,2751.0,Estimated
451,451,"Sporting goods, hobby, musical instrument, and book stores",2020/02/01,5632.0,Estimated
45111,451,Sporting goods stores,2020/02/01,3107.0,Estimated
45112,451,"Hobby, toy, and game stores",2020/02/01,1200.0,Estimated
451211,451,Book stores,2020/02/01,593.0,Estimated
452,452,General merchandise stores,2020/02/01,54596.0,Estimated
4521,452,Department stores,2020/02/01,9067.0,Estimated
452111,452,Department stores(excl. discount department stores),2020/02/01,2473.0,Estimated
452112,452,Discount dept. stores,2020/02/01,6594.0,Estimated
4529,452,Other general merchandise stores,2020/02/01,45529.0,Estimated
45291,452,Warehouse clubs and superstores,2020/02/01,39451.0,Estimated
45299,452,All other gen. merchandise stores,2020/02/01,6078.0,Estimated
453,453,Miscellaneous store retailers,2020/02/01,10302.0,Estimated
